crossing time (s)	slope (V/s)	crossing number
9262.663144	10.366143	4745
9263.681923	11.432657	4746
9264.677440	10.066944	4747
9265.696598	11.154722	4748
9266.693439	9.934055	4749
9267.712901	11.308382	4750
9268.707670	10.305392	4751
9269.725841	11.664646	4752
9270.724162	10.626244	4753
9271.740458	11.813567	4754
9272.740739	10.639407	4755
9273.752766	11.688598	4756
9274.754937	10.230641	4757
9275.769076	11.482481	4758
9276.766473	10.131538	4759
9277.785750	11.238809	4760
9278.781397	10.136773	4761
9279.799974	11.166608	4762
9280.797656	10.123735	4763
9281.812024	11.169383	4764
9282.814694	10.102521	4765
9283.827061	11.417724	4766
9284.826891	10.089798	4767
9285.843472	11.637900	4768
9286.840682	10.340638	4769
9287.859641	11.586952	4770
9288.854834	10.499409	4771
9289.874029	11.322234	4772
9290.871608	10.328561	4773
9291.885290	11.089158	4774
9292.888385	10.027754	4775
9293.899339	11.066493	4776
9294.902251	9.913077	4777
9295.910428	11.211197	4778
9296.916228	9.957663	4779
9297.928447	11.300256	4780
9298.930826	10.126934	4781
9299.944138	11.376860	4782
9300.943461	9.992311	4783
9301.958782	11.202737	4784
9302.959430	9.775788	4785
9303.974881	11.087493	4786
9304.974888	9.819299	4787
9305.987507	11.186475	4788
9306.989480	9.835466	4789
9308.000840	11.015439	4790
9309.004278	9.868083	4791
9310.016154	11.068405	4792
9311.019908	10.107611	4793
9312.030501	10.989084	4794
9313.031842	10.170911	4795
9314.046403	10.921696	4796
9315.044098	10.220377	4797
9316.063442	11.020999	4798
9317.060165	9.939011	4799
9318.076512	11.014073	4800
9319.075457	9.700679	4801
9320.090473	11.034193	4802
9321.092375	9.618677	4803
9322.102717	10.829292	4804
9323.106790	9.867791	4805
9324.117087	10.862865	4806
9325.120360	9.950065	4807
9326.132750	10.783169	4808
9327.132360	9.850094	4809
9328.149027	10.792562	4810
9329.144609	9.850932	4811
9330.164425	10.678557	4812
9331.161312	9.442652	4813
9332.178297	10.857986	4814
9333.177347	9.513452	4815
9334.190114	10.667823	4816
9335.192086	9.453788	4817
9336.204082	10.620650	4818
9337.207115	9.537524	4819
9338.217076	10.606222	4820
9339.220403	9.585814	4821
9340.232240	10.497475	4822
9341.235608	9.505188	4823
9342.247815	10.510374	4824
9343.249288	9.603845	4825
9344.261536	10.526824	4826
9345.265118	9.571664	4827
9346.276313	10.489247	4828
9347.278567	9.501320	4829
9348.288299	10.462314	4830
9349.293197	9.318453	4831
9350.304656	10.429725	4832
9351.305151	9.245323	4833
9352.320427	10.476718	4834
9353.318577	9.329952	4835
9354.335767	10.455383	4836
9355.333010	9.413085	4837
9356.350482	10.374043	4838
9357.346277	9.433042	4839
9358.365569	10.299709	4840
9359.362662	9.493433	4841
9360.378745	10.181544	4842
9361.379053	9.408215	4843
9362.391157	10.204477	4844
9363.393535	9.260533	4845
9364.403360	10.293858	4846
9365.407396	9.219956	4847
9366.419235	10.297253	4848
9367.420231	9.193497	4849
9368.437017	10.256306	4850
9369.432025	9.182533	4851
9370.451479	10.178925	4852
9371.446949	9.173601	4853
9372.466150	10.100417	4854
9373.460662	9.195779	4855
9374.478802	10.100402	4856
9375.476439	9.279393	4857
9376.493612	10.017391	4858
9377.490647	9.313297	4859
9378.506283	9.998582	4860
9379.505539	9.277741	4861
9380.521958	9.938148	4862
9381.520852	9.199606	4863
9382.533448	9.896399	4864
9383.534416	9.175144	4865
9384.549054	10.078990	4866
9385.547389	9.221728	4867
9386.562989	9.887824	4868
9387.562140	9.191027	4869
9388.578617	9.911228	4870
9389.574265	9.092868	4871
9390.593140	9.864626	4872
9391.589903	9.070095	4873
9392.608490	9.926535	4874
9393.603355	8.835834	4875
9394.622108	9.826484	4876
9395.619428	8.815964	4877
9396.635246	9.892686	4878
9397.635063	8.768695	4879
9398.648106	9.785857	4880
9399.650360	8.868416	4881
9400.660079	9.719220	4882
9401.665906	8.891344	4883
9402.676902	9.669769	4884
9403.677758	8.965279	4885
9404.690113	9.542583	4886
9405.690453	8.977176	4887
9406.706757	9.569514	4888
9407.703988	8.879496	4889
9408.722441	9.543423	4890
9409.716552	8.735444	4891
9410.735528	9.504639	4892
9411.731234	8.696110	4893
9412.748688	9.559463	4894
9413.745757	8.605392	4895
9414.764257	9.683957	4896
