time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
2454.452084	137.891937	1.542170	-0.093670	123
2456.464599	137.735168	1.541298	-0.093391	125
2458.476951	137.527603	1.540717	-0.093500	127
2460.489323	137.392273	1.538845	-0.093248	129
2462.501686	137.192596	1.535679	-0.093206	131
2464.514551	137.164612	1.530913	-0.092930	133
2466.528121	137.321884	1.526919	-0.092598	135
2468.542184	137.789719	1.524377	-0.092440	137
2470.556097	138.223984	1.521676	-0.092825	139
2472.568814	138.257202	1.520897	-0.093288	141
2474.579698	137.652603	1.523155	-0.093347	143
2476.589720	136.861526	1.519459	-0.092650	145
2478.600925	136.382736	1.512130	-0.091875	147
2480.614038	136.431046	1.502465	-0.090922	149
2482.628412	136.984177	1.499807	-0.091141	151
2484.642430	137.431107	1.498518	-0.091716	153
2486.655829	137.586975	1.497659	-0.091421	155
2488.667907	137.393158	1.497907	-0.091171	157
2490.679579	137.122482	1.498280	-0.091878	159
2492.691203	136.853836	1.497492	-0.091580	161
2494.702938	136.693619	1.494318	-0.091408	163
2496.715355	136.589615	1.493167	-0.091715	165
2498.727682	136.499908	1.488889	-0.091234	167
2500.740479	136.445389	1.484457	-0.091075	169
2502.753298	136.416290	1.480282	-0.090702	171
2504.766462	136.450729	1.478254	-0.090966	173
2506.778980	136.232742	1.479408	-0.090631	175
2508.790935	136.038635	1.476901	-0.089984	177
2510.801995	135.924652	1.474946	-0.089588	179
2512.812415	135.776443	1.474818	-0.089442	181
2514.823415	135.732086	1.472069	-0.089134	183
2516.835306	135.681046	1.467450	-0.088980	185
2518.848742	135.695343	1.463359	-0.089269	187
2520.862684	135.642639	1.460269	-0.088894	189
2522.876458	135.613449	1.456177	-0.088482	191
2524.889874	135.606934	1.454133	-0.088106	193
2526.902034	135.553528	1.453050	-0.087872	195
2528.914204	135.567810	1.452233	-0.088136	197
2530.925909	135.411301	1.450979	-0.087932	199
2532.937624	135.387741	1.446783	-0.087487	201
2534.949835	135.283066	1.444568	-0.087046	203
2536.962386	135.229446	1.440817	-0.086983	205
2538.974693	135.216400	1.437350	-0.086702	207
2540.987439	135.274124	1.435354	-0.086582	209
2543.000091	135.380112	1.435515	-0.086796	211
2545.012657	135.395706	1.433922	-0.086529	213
2547.024656	135.266495	1.433688	-0.086713	215
2549.035752	134.997421	1.434903	-0.086972	217
2551.046458	134.492386	1.436034	-0.086878	219
2553.057060	134.069519	1.432676	-0.086431	221
2555.068269	133.735870	1.427647	-0.085749	223
2557.080566	133.603073	1.422968	-0.085489	225
2559.093418	133.743744	1.418515	-0.085042	227
2561.106803	133.993729	1.415536	-0.085183	229
2563.120414	134.170135	1.412351	-0.084905	231
2565.133839	134.310104	1.413664	-0.084981	233
2567.146525	134.349701	1.414114	-0.085189	235
2569.158827	134.317566	1.412341	-0.084597	237
2571.171311	134.211227	1.408075	-0.084213	239
2573.183516	134.147049	1.405397	-0.083671	241
2575.195875	133.970520	1.402478	-0.083092	243
2577.208034	133.847916	1.400380	-0.083006	245
2579.220146	133.716614	1.395624	-0.081868	247
2581.231973	133.636154	1.392544	-0.081618	249
2583.243410	133.454361	1.389935	-0.081210	251
2585.254500	133.291840	1.390986	-0.081091	253
2587.265558	133.155426	1.390146	-0.080854	255
2589.276801	133.077560	1.390257	-0.080914	1
2591.288057	133.006592	1.388286	-0.080166	3
2593.299882	132.945206	1.384559	-0.080287	5
2595.312592	133.003967	1.381671	-0.080311	7
2597.325815	132.975769	1.378409	-0.079909	9
2599.339415	132.935669	1.377886	-0.079836	11
2601.352652	132.977203	1.373517	-0.079739	13
2603.365853	132.966080	1.370295	-0.079142	15
2605.378465	133.017334	1.369956	-0.078603	17
2607.390876	132.993668	1.368640	-0.078307	19
2609.402862	132.947098	1.366356	-0.078100	21
2611.414974	132.900375	1.363250	-0.077235	23
2613.427118	132.865067	1.357793	-0.076595	25
2615.439296	132.834427	1.355519	-0.076323	27
2617.451278	132.841492	1.353093	-0.076088	29
2619.463131	132.726898	1.354008	-0.076600	31
2621.474817	132.604691	1.353253	-0.076421	33
2623.486007	132.322128	1.350728	-0.075935	35
2625.497000	132.144577	1.350694	-0.075662	37
2627.507796	131.899689	1.350276	-0.075453	39
2629.518975	131.616257	1.347401	-0.074985	41
2631.530591	131.410675	1.343758	-0.074347	43
2633.542475	131.327332	1.339893	-0.074304	45
2635.555100	131.329041	1.338565	-0.074020	47
2637.567959	131.404221	1.335612	-0.073506	49
2639.580931	131.589249	1.331103	-0.073731	51
2641.594049	131.684158	1.330123	-0.073508	53
2643.606634	131.680664	1.330429	-0.073305	55
2645.619128	131.697708	1.328585	-0.072869	57
2647.631597	131.628052	1.326325	-0.072556	59
2649.643883	131.579407	1.323773	-0.072358	61
2651.655909	131.477737	1.323486	-0.071889	63
2653.667586	131.419739	1.320793	-0.071550	65
2655.679295	131.297241	1.319799	-0.071137	67
2657.690740	131.143097	1.317465	-0.070785	69
2659.702047	131.074127	1.314656	-0.070348	71
2661.713233	130.978226	1.313574	-0.069947	73
2663.724480	130.892578	1.310525	-0.069296	75
2665.736033	130.859329	1.310248	-0.069500	77
2667.748014	130.836288	1.308261	-0.069463	79
2669.760155	130.831696	1.307032	-0.069331	81
2671.772902	130.810776	1.306061	-0.069178	83
2673.786102	130.787842	1.304466	-0.068643	85
2675.799119	130.807434	1.301206	-0.068196	87
2677.812020	130.839630	1.299158	-0.067691	89
2679.824917	130.849838	1.295905	-0.067236	91
2681.837429	130.772491	1.291288	-0.066384	93
2683.849740	130.822540	1.289538	-0.066016	95
2685.862080	130.801971	1.287277	-0.065401	97
2687.874014	130.742416	1.285762	-0.064816	99
2689.885773	130.703674	1.285010	-0.064587	101
2691.897643	130.707428	1.282576	-0.064283	103
2693.909374	130.601532	1.282671	-0.064007	105
2695.920869	130.474289	1.280013	-0.063414	107
2697.931972	130.357925	1.278497	-0.063056	109
2699.943060	130.194641	1.276246	-0.062730	111
2701.954133	129.975662	1.274886	-0.062261	113
2703.965411	129.787521	1.272928	-0.062033	115
2705.976780	129.618027	1.272375	-0.061709	117
2707.988483	129.520309	1.270662	-0.061669	119
2710.000297	129.434067	1.267417	-0.061095	121
