time (s)	magX	magY	magZ
6913.237685	-208.302734	45.572178	-108.345993
6913.241037	-205.497375	44.227936	-103.436584
6913.244353	-202.633545	43.468147	-99.170074
6913.247681	-199.535950	42.123905	-94.962006
6913.251012	-196.905914	41.597897	-91.922852
6913.254349	-194.042084	40.779659	-87.773232
6913.257677	-191.061371	40.078316	-85.435417
6913.261015	-188.606659	38.850960	-81.461136
6913.264348	-185.918182	37.798946	-78.597313
6913.267684	-182.119232	36.805374	-75.382820
6913.271038	-180.248993	35.811806	-73.161896
6913.274346	-176.742249	35.461132	-69.655174
6913.277678	-175.222656	34.233780	-66.966690
6913.281014	-172.534180	33.415546	-64.336647
6913.284346	-169.261261	32.831093	-62.174168
6913.287675	-167.098785	31.603743	-59.544128
6913.291049	-164.760956	31.662188	-57.206314
6913.295619	-159.208649	30.201056	-53.115139
6913.298521	-157.689056	29.850378	-50.017532
6913.301888	-155.292816	28.447691	-48.790180
6913.305209	-153.188782	27.980127	-45.809467
6913.308547	-150.850952	26.986557	-43.705437
6913.311931	-148.045593	26.226768	-42.010521
6913.314824	-146.526001	26.343658	-39.964931
6913.318171	-144.889526	25.934542	-38.270020
6913.321429	-142.493286	25.466978	-37.218002
6913.324766	-140.681458	24.882526	-36.224430
6913.327679	-138.928101	23.947401	-33.828171
6913.331008	-136.239624	23.655174	-32.425484
6913.334343	-135.362946	23.538282	-31.782583
6913.337672	-133.843353	22.778492	-29.678551
6913.341002	-131.271759	22.369375	-28.801870
6913.344362	-130.102875	21.843367	-27.808300
6913.347667	-127.531273	21.843367	-27.399181
6913.351002	-126.362358	20.732904	-25.178257
6913.354339	-124.959679	20.499125	-25.236704
6913.357670	-123.556984	20.908241	-24.009352
6913.361003	-121.862068	20.148453	-22.489773
6913.364332	-120.985390	19.447107	-21.905319
6913.367670	-119.232018	19.037991	-21.554647
6913.371008	-117.712456	19.037991	-20.444185
6913.374336	-116.426643	18.395090	-19.509060
6913.377671	-115.374641	18.044418	-19.333725
6913.381041	-113.971947	17.576857	-17.463470
6913.384337	-112.686150	17.401520	-17.288136
6913.387688	-111.634132	16.817066	-16.586792
6913.391001	-110.699013	17.576857	-16.002338
